latitude,longitude
41.76,-72.67
48.54,-109.67
38.88,-99.32
46.58,-112.03
33.75,-116.97
40.7,-73.61
41.23,-80.44
40.28,-76.65
35.95,-80
40.49,-74.42
40.68,-73.88
32.75,-117.17
19.72,-155.08
31.85,-81.6
-42.88,147.33
40.75,-74.03
40.42,-78.38
42.2,-72.62
42.64,-76.18
21.31,-157.86
33.4,-86.81
36.87,-87.49
42.32,-77.66
47.12,-88.56
29.76,-95.37
40.87,-73.43
33.65,-117.99
34.73,-86.58
40.62,-79.15
39.76,-86.15
40.86,-73.92
41.66,-91.53
63.75,-68.52
33.68,-117.82
34.41,-119.86
42.44,-76.5
32.29,-90.18
35.61,-88.81
43.48,-110.77
40.75,-73.88
30.33,-81.65
42.1,-79.24
41.5,-71.37
40.71,-74.07
43,-74.37
40.32,-78.92
41.52,-88.15
35.83,-90.69
37.08,-94.51
34.13,-116.31
58.32,-134.41
20.88,-156.47
19.64,-155.99
42.29,-85.58
48.19,-114.32
39.1,-94.58
40.7,-99.07
44.255,-73.79
32.93,-97.22
34.02,-84.61
39.84,-75.71
42.58,-87.85
40.1,-75.38
41.92,-74
42.22,-121.78
35.96,-83.92
40.48,-86.12
40.51,-75.77
34.21,-118.21
34.23,-118.24
43.81,-91.25
32.84,-117.94
32.84,-117.277
33.93,-117.02
34.03,-117.96
33.68,-116.3
34.11,-117.77
40.41,-86.87
30.22,-92.01
33.53,-117.77
30.22,-93.21
30.18,-82.63
34.49,-114.31
48.02,-122.06
26.61,-80.06
28.04,-81.95
33.85,-118.12
40.03,-76.3
48.037,-122.409
42.73,-84.55
41.28,-105.54
27.52,-99.49
32.31,-106.76
36.17,-115.14
41.36,-89.04
40.32,-79.37
-41.44,147.15
20.85,-156.64
38.97,-95.23
34.6,-98.38
47.6,-120.67
40.34,-76.42
39.1,-77.56
40.15,-74.82
40.96,-76.88
44.09,-70.19
33.04,-97.01
38.04,-84.5
37.78,-79.43
21.9747,-159.3656
40.8,-96.67
42.24,-83.18
34.74,-92.28
41.899242,-74.830241
34.65,-120.46
33.774,-118.19
40.59,-73.68
39.64,-74.18
40.3,-73.99
48.48,-122.89
41.44,-82.16
34.05,-118.24
38.25,-85.75
42.63,-71.31
33.57,-101.85
37.41,-79.14
32.84,-83.63
36.96,-120.06
40.75,-74.41
43.07,-89.38
34.04,-118.7
38.75,-77.47
42.99,-71.46
39.186428,-96.576633
33.89,-118.41
40.7,-73.99
44.17,-94
40.76,-82.51
32.57,-97.12
40.7,-73.92
33.06,-112.05
33.94,-84.5
37.87,-122.51
40.55,-85.65
40.58,-83.12
46.54,-87.41
48.06,-122.163
40.67,-73.45
44.93,-74.89
26.2,-98.23
40.72,-73.95
33.19,-96.63
45.2,-123.18
41.64,-80.15
42.31,-122.86
-37.81,144.96
35.14,-90.04
37.45,-122.18
40.65,-73.54
36.81,-114.07
25.77,-80.2
41.56,-72.65
39.44,-75.71
41.44,-74.42
40.91,-77.04
40.73,-74.32
41.01,-76.84
43.05,-87.95
40.74,-73.64
46.87,-113.99
30.69,-88.03
37.63,-120.99
32.509,-92.118
41.33,-74.19
47.85,-121.96
40.33,-74.43
34.15,-118
34.01,-118.11
36.6,-121.89
32.36,-86.29
41.52,-74.23
40.02,-88.57
41.65,-74.68
44.26,-72.57
41.03,-71.91
39.608056,-86.369167
38.18,-83.44
40.79,-74.48
47.12,-119.28
40.8,-73.92
43.6,-84.77
40.91,-73.83
47.79,-122.3
47.916,-122.303
40.19,-85.38
35.75,-95.37
33.68,-78.88
21.39,-158.16
41.08,-74.01
38.29,-122.28
41.75,-88.15
26.15,-81.8
41.45,-71.45
42.76,-71.46
36.16,-86.78
32.67,-117.09
30.4,-86.86
29.7,-98.12
40.48,-74.45
41,-80.34
41.3,-72.92
29.95,-90.08
41.74,-74.08
40.91,-73.78
40.71,-74
37.53,-122.03
40.73,-74.17
40.06,-82.41
41.5,-74.01
-32.92,151.75
41.48,-71.31
33.62,-117.9
42.33,-71.2
35.66,-81.22
41.05,-74.75
43.1,-79.05
42.81,-73.88
42.02,-97.43
36.84,-76.29
35.22,-97.44
40.12,-75.33
47.49,-121.78
32.89,-80.02
41.56,-71.45
32.74,-117.12
41.14,-100.76
42.32,-72.64
41.09,-73.92
38.78,-90.7
48.295,-122.659
37.8,-122.27
39.27,-74.57
33.19,-117.37
31.84,-102.36
44.7,-75.49
35.46,-97.51
42.08,-78.43
47.04,-122.9
41.25,-96
48.41,-119.53
42.45,-75.06
34.05,-117.63
44.02,-116.96
33.78,-117.85
28.54,-81.38
41.15,-73.86
43.45,-76.51
32.55,-116.97
41.01,-92.4
44.08,-93.22
34.36,-89.51
34.19,-119.17
40.86,-73.53
32.798,-117.24
37.07,-88.62
29.53,-81.22
33.72,-116.37
33.83,-116.54
34.58,-118.1
61.602,-149.117
37.42,-122.13
33.79,-118.4
40.67,-73.98
39.27,-81.56
34.15,-118.13
46.23,-119.09
40.76,-73.01
40.91,-74.17
41.29,-73.92
40.9,-73.8
40.87,-75.26
45.67,-118.79
30.42,-87.21
40.69,-89.58
-31.95,115.86
31.34,-89.26
38.25,-122.63
33.44,-112.07
34.21,-92.01
41.6,-74.3
40.44,-79.99
42.22,-83.71
39.7,-86.38
40.77,-73.46
33.02,-96.7
44.69,-73.45
40.33,-79.96
37.66,-121.87
